Date.Time,Unit,Value
2016-11-14 04:09:44,C,27.8
2016-11-14 04:12:44,C,27.8
2016-11-14 04:15:44,C,27.8
2016-11-14 04:18:44,C,27.8
2016-11-14 04:21:44,C,27.8
2016-11-14 04:24:44,C,27.8
2016-11-14 04:27:44,C,27.8
2016-11-14 04:30:44,C,27.8
2016-11-14 04:33:44,C,27.8
2016-11-14 04:36:44,C,27.8
2016-11-14 04:39:44,C,27.7
2016-11-14 04:42:44,C,27.7
2016-11-14 04:45:44,C,27.7
2016-11-14 04:48:44,C,27.7
2016-11-14 04:51:44,C,27.9
2016-11-14 04:54:44,C,27.7
2016-11-14 04:57:44,C,27.9
2016-11-14 05:00:44,C,27.9
2016-11-14 05:03:44,C,27.9
2016-11-14 05:06:44,C,27.9
2016-11-14 05:09:44,C,27.9
2016-11-14 05:12:44,C,27.9
2016-11-14 05:15:44,C,27.9
2016-11-14 05:18:44,C,28.1
2016-11-14 05:21:44,C,28.1
2016-11-14 05:24:44,C,28
2016-11-14 05:27:44,C,28.2
2016-11-14 05:30:44,C,28.2
2016-11-14 05:33:44,C,28.2
2016-11-14 05:36:44,C,28.2
2016-11-14 05:39:44,C,28.2
2016-11-14 05:42:44,C,28.2
2016-11-14 05:45:44,C,28.3
2016-11-14 05:48:44,C,28.3
2016-11-14 05:51:44,C,28.3
2016-11-14 05:54:44,C,28.5
2016-11-14 05:57:44,C,28.6
2016-11-14 06:00:44,C,28.6
2016-11-14 06:03:44,C,28.6
2016-11-14 06:06:44,C,28.6
2016-11-14 06:09:44,C,28.7
2016-11-14 06:12:44,C,28.7
2016-11-14 06:15:44,C,28.7
2016-11-14 06:18:44,C,28.8
2016-11-14 06:21:44,C,28.8
2016-11-14 06:24:44,C,28.9
2016-11-14 06:27:44,C,29.1
2016-11-14 06:30:44,C,29.1
2016-11-14 06:33:44,C,29
2016-11-14 06:36:44,C,29
2016-11-14 06:39:44,C,29.2
2016-11-14 06:42:44,C,29.3
2016-11-14 06:45:44,C,29.3
2016-11-14 06:48:44,C,29.3
2016-11-14 06:51:44,C,29.4
2016-11-14 06:54:44,C,29.4
2016-11-14 06:57:44,C,29.4
2016-11-14 07:00:44,C,29.3
2016-11-14 07:03:44,C,29.3
2016-11-14 07:06:44,C,29.5
2016-11-14 07:09:44,C,29.3
2016-11-14 07:12:44,C,30
2016-11-14 07:15:44,C,30
2016-11-14 07:18:44,C,30.3
2016-11-14 07:21:44,C,30.5
2016-11-14 07:24:44,C,30.7
2016-11-14 07:27:44,C,30.5
2016-11-14 07:30:44,C,31
2016-11-14 07:33:44,C,31.3
2016-11-14 07:36:44,C,32.2
2016-11-14 07:39:44,C,32.2
2016-11-14 07:42:44,C,31.7
2016-11-14 07:45:44,C,31.4
2016-11-14 07:48:44,C,31.2
2016-11-14 07:51:44,C,31.3
2016-11-14 07:54:44,C,31.5
2016-11-14 07:57:44,C,31.7
2016-11-14 08:00:44,C,31.6
2016-11-14 08:03:44,C,31.7
2016-11-14 08:06:44,C,31.8
2016-11-14 08:09:44,C,31.9
2016-11-14 08:12:44,C,32
2016-11-14 08:15:44,C,31.9
2016-11-14 08:18:44,C,31.9
2016-11-14 08:21:44,C,32
2016-11-14 08:24:44,C,32.1
2016-11-14 08:27:44,C,32.2
2016-11-14 08:30:44,C,32.2
2016-11-14 08:33:44,C,32.2
2016-11-14 08:36:44,C,32.3
2016-11-14 08:39:44,C,32.1
2016-11-14 08:42:44,C,32.2
2016-11-14 08:45:44,C,32.5
2016-11-14 08:48:44,C,32.5
2016-11-14 08:51:44,C,32.7
2016-11-14 08:54:44,C,32.6
2016-11-14 08:57:44,C,32.8
2016-11-14 09:00:44,C,32.7
2016-11-14 09:03:44,C,32.8
2016-11-14 09:06:44,C,32.8
2016-11-14 09:09:44,C,32.7
2016-11-14 09:12:44,C,33
2016-11-14 09:15:44,C,33
2016-11-14 09:18:44,C,32.8
2016-11-14 09:21:44,C,33.4
2016-11-14 09:24:44,C,33.9
2016-11-14 09:27:44,C,33.6
2016-11-14 09:30:44,C,33.3
2016-11-14 09:33:44,C,32.2
2016-11-14 09:36:44,C,31.5
2016-11-14 09:39:44,C,31.6
2016-11-14 09:42:44,C,31.7
2016-11-14 09:45:44,C,31.8
2016-11-14 09:48:44,C,31.3
2016-11-14 09:51:44,C,28.3
2016-11-14 09:54:44,C,29.1
2016-11-14 09:57:44,C,33.6
2016-11-14 10:00:44,C,32.3
2016-11-14 10:03:44,C,29.3
2016-11-14 10:06:44,C,39.1
2016-11-14 10:09:44,C,38.3
2016-11-14 10:12:44,C,36.4
2016-11-14 10:15:44,C,36.9
2016-11-14 10:18:44,C,36.9
2016-11-14 10:21:44,C,34.7
2016-11-14 10:24:44,C,31.6
2016-11-14 10:27:44,C,33.7
2016-11-14 10:30:44,C,34.9
2016-11-14 10:33:44,C,37.3
2016-11-14 10:36:44,C,36.2
2016-11-14 10:39:44,C,36.3
2016-11-14 10:42:44,C,36.2
2016-11-14 10:45:44,C,35.8
2016-11-14 10:48:44,C,36.4
2016-11-14 10:51:44,C,36.4
2016-11-14 10:54:44,C,36.7
2016-11-14 10:57:44,C,35.9
2016-11-14 11:00:44,C,36.7
2016-11-14 11:03:44,C,36.8
2016-11-14 11:06:44,C,36.9
2016-11-14 11:09:44,C,37
2016-11-14 11:12:44,C,36.9
2016-11-14 11:15:44,C,36.9
2016-11-14 11:18:44,C,36.5
2016-11-14 11:21:44,C,37
2016-11-14 11:24:44,C,36.7
2016-11-14 11:27:44,C,37.1
2016-11-14 11:30:44,C,36.9
